quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
,sweing,Saturday,8,,23.54,1144.0,,0,0.0,0,0,54.0,0.286984568
,sweing,Saturday,1,0.8,22.52,1534.0,6780.0,88,0.0,0,0,57.0,0.900135693
Quarter1,finishing,,7,0.8,4.6,,,0,0.0,0,0,8.0,0.342361111
Quarter1,finishing,Wednesday,5,0.7,4.6,,960.0,0,0.0,0,0,8.0,0.592083333
Quarter5,sweing,Saturday,6,,18.79,,,23,0.0,0,0,33.0,0.600710606
Quarter4,sweing,Thursday,4,0.75,22.52,759.0,,81,0.0,0,0,56.0,0.849983766
Quarter3,finishing,Wednesday,8,0.7,5.13,,,0,0.0,0,0,8.0,0.58
Quarter4,sweing,Tuesday,12,0.8,15.26,1062.0,4080.0,50,0.0,0,0,34.0,0.800401961
,finishing ,Saturday,5,,4.15,,1440.0,0,0.0,0,0,8.0,0.337973485
Quarter1,sweing,Monday,6,,18.79,,,30,0.0,0,0,33.0,0.700354545
Quarter4,sweing,Saturday,9,0.75,18.79,,6240.0,45,0.0,0,1,52.0,0.750395513
Quarter2,sweing,Saturday,11,0.6,11.41,,2280.0,23,0.0,0,2,55.0,0.600447507
,sweing,Tuesday,5,0.7,20.79,1297.0,,0,0.0,0,0,58.0,0.526810345
Quarter4,sweing,Saturday,5,0.5,27.48,609.0,6840.0,30,0.0,0,1,57.0,0.550403509
Quarter1,sweing,,8,0.75,29.4,622.0,6240.0,56,0.0,0,0,57.0,0.75075
Quarter4,finishing ,Sunday,5,0.7,4.15,,3060.0,0,0.0,0,0,17.0,0.973796791
Quarter1,sweing,Tuesday,12,0.8,15.26,1029.0,2040.0,50,0.0,0,0,35.0,0.800259023
Quarter4,sweing,Wednesday,6,0.35,18.79,,,23,0.0,0,0,32.0,0.437995338
Quarter1,finishing ,Tuesday,4,0.8,4.3,,1440.0,0,0.0,0,0,12.0,0.5375
,finishing,Wednesday,5,0.7,3.94,,1440.0,0,0.0,0,0,12.0,0.75885
Quarter1,sweing,Wednesday,9,0.8,26.16,1324.0,10620.0,75,0.0,0,0,59.0,0.850502311
Quarter1,sweing,Sunday,12,0.8,11.61,1216.0,6975.0,50,0.0,0,0,31.0,0.800030199
Quarter3,sweing,,2,,30.33,,,0,0.0,0,1,57.0,0.328131579
Quarter3,sweing,Thursday,3,0.7,30.1,247.0,6960.0,50,0.0,0,1,58.0,0.700603448
Quarter4,finishing,Wednesday,7,,4.6,,960.0,0,0.0,0,0,8.0,0.676666667
Quarter1,finishing ,Tuesday,11,0.8,4.15,,2700.0,0,0.0,0,0,15.0,0.888686869
